,USDA Symbol,URLS,COUNT,Source,Scientific Name,Common Name,String
11,ACRU,"https://arcadianatives.com/, https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, http://www.hungryhookfarm.com/, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net, http://www.wildlifegroup.com, https://thurlowtreenursery.com/",19,"Arcadia Natives Washington, Archewild Quakertown, Bowman's New Hope, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hungry Hook Bainbridge, Musser Forests Indiana, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, The Wildlife Group, Thurlow Tree Nursery",Acer rubrum,Red Maple,"Red Maple (Acer rubrum): Arcadia Natives Washington, Archewild Quakertown, Bowman's New Hope, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hungry Hook Bainbridge, Musser Forests Indiana, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, The Wildlife Group, Thurlow Tree Nursery"
12,ACRU2,https://calyxnativenursery.com/,1,Calyx Native Nursery,Actaea rubra,Red Baneberry,Red Baneberry (Actaea rubra): Calyx Native Nursery
13,ACSA2,"https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.heartwoodnurseryinc.com, https://www.musserforests.com/, http://www.perennialgardens.name, https://redbudnative.com/, http://ruffnermountain.org/",10,"Archewild Quakertown, Bowman's New Hope, Fox Hill Gardens, Gino's Newtown, Go Native Trees, Heartwood Felton, Musser Forests Indiana, Perennial Gardens New Bloomfield, Redbud Media, Ruffner Mountain Nature Preserve",Acer saccharinum,Silver Maple,"Silver Maple (Acer saccharinum): Archewild Quakertown, Bowman's New Hope, Fox Hill Gardens, Gino's Newtown, Go Native Trees, Heartwood Felton, Musser Forests Indiana, Perennial Gardens New Bloomfield, Redbud Media, Ruffner Mountain Nature Preserve"
14,ACSA3,"https://arcadianatives.com/, https://archewild.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net",15,"Arcadia Natives Washington, Archewild Quakertown, David Brothers Norristown, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees",Acer saccharum,Sugar Maple,"Sugar Maple (Acer saccharum): Arcadia Natives Washington, Archewild Quakertown, David Brothers Norristown, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees"
15,ACSP2,https://www.gonativetrees.com/,1,Go Native Trees,Acer spicatum,Mountain Maple,Mountain Maple (Acer spicatum): Go Native Trees
16,ADPE,"https://bhwp.org/grow/native-plant-nursery/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.heartwoodnurseryinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",10,"Bowman's New Hope, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Heartwood Felton, Hungry Hook Bainbridge, Keystone Robesonia, Redbud Media, Tait Farm",Adiantum pedatum,Northern Maidenhair,"Northern Maidenhair (Adiantum pedatum): Bowman's New Hope, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Heartwood Felton, Hungry Hook Bainbridge, Keystone Robesonia, Redbud Media, Tait Farm"
17,AEFL,"https://www.gonativetrees.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",6,"Go Native Trees, GroWild, Heartwood Felton, Musser Forests Indiana, Overhill Gardens, Redbud Media",Aesculus flava,Yellow Buckeye,"Yellow Buckeye (Aesculus flava): Go Native Trees, GroWild, Heartwood Felton, Musser Forests Indiana, Overhill Gardens, Redbud Media"
18,AEGL,"http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.gonativetrees.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",5,"Friendship Farms Latrobe, Go Native Trees, GroWild, Overhill Gardens, Redbud Media",Aesculus glabra,Ohio Buckeye,"Ohio Buckeye (Aesculus glabra): Friendship Farms Latrobe, Go Native Trees, GroWild, Overhill Gardens, Redbud Media"
19,AEPA,"http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://www.meadowsweetnative.com, https://www.musserforests.com/, https://www.northbrooknatives.com/, https://www.overhillgardens.com/native-plants.html, www.facebook.com/recreativenatives/, http://www.superiortrees.net",11,"Fox Hill Gardens, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Meadowsweet Native York, Musser Forests Indiana, Northbrook Natives Kennet Square, Overhill Gardens, Recreative Natives, Superior Trees",Aesculus pavia,Red Buckeye,"Red Buckeye (Aesculus pavia): Fox Hill Gardens, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Meadowsweet Native York, Musser Forests Indiana, Northbrook Natives Kennet Square, Overhill Gardens, Recreative Natives, Superior Trees"
20,AEPA2,"https://arcadianatives.com/, https://archewild.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://www.northbrooknatives.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net",12,"Arcadia Natives Washington, Archewild Quakertown, David Brothers Norristown, Fox Hill Gardens, Gino's Newtown, GroWild, Heartwood Felton, Northbrook Natives Kennet Square, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees",Aesculus parviflora,Bottlebrush Buckeye,"Bottlebrush Buckeye (Aesculus parviflora): Arcadia Natives Washington, Archewild Quakertown, David Brothers Norristown, Fox Hill Gardens, Gino's Newtown, GroWild, Heartwood Felton, Northbrook Natives Kennet Square, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees"
21,AESY,https://www.gonativetrees.com/,1,Go Native Trees,Aesculus sylvatica,Painted Buckeye,Painted Buckeye (Aesculus sylvatica): Go Native Trees
22,AGAL5,"https://archewild.com/, https://www.diakon.org/wilderness-greenhouse/, www.facebook.com/recreativenatives/",3,"Archewild Quakertown, Diakon Boiling Springs, Recreative Natives",Ageratina altissima,White Snakeroot,"White Snakeroot (Ageratina altissima): Archewild Quakertown, Diakon Boiling Springs, Recreative Natives"
23,AGFO,"https://archewild.com/, https://www.diakon.org/wilderness-greenhouse/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",8,"Archewild Quakertown, Diakon Boiling Springs, Fox Hill Gardens, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens, Redbud Media",Agastache foeniculum,Blue Giant Hyssop,"Blue Giant Hyssop (Agastache foeniculum): Archewild Quakertown, Diakon Boiling Springs, Fox Hill Gardens, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens, Redbud Media"
24,AGHY,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Agrostis hyemalis,Winter Bentgrass,Winter Bentgrass (Agrostis hyemalis): Hungry Hook Bainbridge
25,AGNE2,"https://archewild.com/, http://www.hungryhookfarm.com/",2,"Archewild Quakertown, Hungry Hook Bainbridge",Agastache nepetoides,Yellow Giant Hyssop,"Yellow Giant Hyssop (Agastache nepetoides): Archewild Quakertown, Hungry Hook Bainbridge"
26,AGPO2,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",3,"GroWild, Overhill Gardens, Superior Trees",Agarista populifolia,Florida Hobblebush,"Florida Hobblebush (Agarista populifolia): GroWild, Overhill Gardens, Superior Trees"
27,AGPU5,https://www.taitfarmfoodslocal.com,1,Tait Farm,Agalinis purpurea,Purple False Foxglove,Purple False Foxglove (Agalinis purpurea): Tait Farm
28,AGSC,"https://archewild.com/, https://www.taitfarmfoodslocal.com",2,"Archewild Quakertown, Tait Farm",Agastache scrophulariifolia,Purple Giant Hyssop,"Purple Giant Hyssop (Agastache scrophulariifolia): Archewild Quakertown, Tait Farm"
29,ALCA3,"http://foxhillgardens.com, http://www.hungryhookfarm.com/",2,"Fox Hill Gardens, Hungry Hook Bainbridge",Allium canadense,Meadow Garlic,"Meadow Garlic (Allium canadense): Fox Hill Gardens, Hungry Hook Bainbridge"
30,ALCE2,"https://archewild.com/, https://bbgardens.org/, https://bhwp.org/grow/native-plant-nursery/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.goodhostplants.com/plant-availability/, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.northbrooknatives.com/, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",13,"Archewild Quakertown, Birmingham Botanical Gardens, Bowman's New Hope, Diakon Boiling Springs, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, Good Host Plants Philly, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Redbud Media, Tait Farm",Allium cernuum,Nodding Onion,"Nodding Onion (Allium cernuum): Archewild Quakertown, Birmingham Botanical Gardens, Bowman's New Hope, Diakon Boiling Springs, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, Good Host Plants Philly, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Redbud Media, Tait Farm"
31,ALIN2,"https://archewild.com/, https://www.gonativetrees.com/",2,"Archewild Quakertown, Go Native Trees",Alnus incana,Gray Alder,"Gray Alder (Alnus incana): Archewild Quakertown, Go Native Trees"
32,ALSE2,"https://archewild.com/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://www.superiortrees.net",7,"Archewild Quakertown, Gino's Newtown, GroWild, Heartwood Felton, Overhill Gardens, Redbud Media, Superior Trees",Alnus serrulata,Hazel Alder,"Hazel Alder (Alnus serrulata): Archewild Quakertown, Gino's Newtown, GroWild, Heartwood Felton, Overhill Gardens, Redbud Media, Superior Trees"
33,ALST11,https://hilltophollowfarm.com/,1,Hilltop Hollow Farm,Alyxia stellata,Maile,Maile (Alyxia stellata): Hilltop Hollow Farm
34,ALTR3,"https://archewild.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://redbudnative.com/",4,"Archewild Quakertown, Fox Hill Gardens, Gino's Newtown, Redbud Media",Allium tricoccum,Ramp,"Ramp (Allium tricoccum): Archewild Quakertown, Fox Hill Gardens, Gino's Newtown, Redbud Media"
35,AMAL2,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Amelanchier alnifolia,Saskatoon Serviceberry,"Saskatoon Serviceberry (Amelanchier alnifolia): GroWild, Overhill Gardens"
36,AMAR3,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://www.superiortrees.net",4,"GroWild, Overhill Gardens, Redbud Media, Superior Trees",Amelanchier arborea,Common Serviceberry,"Common Serviceberry (Amelanchier arborea): GroWild, Overhill Gardens, Redbud Media, Superior Trees"
37,AMBR2,https://www.taitfarmfoodslocal.com,1,Tait Farm,Amphicarpaea bracteata,American Hogpeanut,American Hogpeanut (Amphicarpaea bracteata): Tait Farm
38,AMCA14,http://www.superiortrees.net,1,Superior Trees,Ampelaster carolinianus,Climbing Aster,Climbing Aster (Ampelaster carolinianus): Superior Trees
39,AMCA4,"https://arcadianatives.com/, https://archewild.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://hilltophollowfarm.com/, http://www.hungryhookfarm.com/, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",13,"Arcadia Natives Washington, Archewild Quakertown, David Brothers Norristown, Fox Hill Gardens, Gino's Newtown, GroWild, Heartwood Felton, Hilltop Hollow Farm, Hungry Hook Bainbridge, Musser Forests Indiana, Overhill Gardens, Redbud Media, Tait Farm",Amelanchier canadensis,Canadian Serviceberry,"Canadian Serviceberry (Amelanchier canadensis): Arcadia Natives Washington, Archewild Quakertown, David Brothers Norristown, Fox Hill Gardens, Gino's Newtown, GroWild, Heartwood Felton, Hilltop Hollow Farm, Hungry Hook Bainbridge, Musser Forests Indiana, Overhill Gardens, Redbud Media, Tait Farm"
40,AMFR,"https://arcadianatives.com/, https://archewild.com/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://www.overhillgardens.com/native-plants.html, www.facebook.com/recreativenatives/, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",9,"Arcadia Natives Washington, Archewild Quakertown, Gino's Newtown, GroWild, Heartwood Felton, Overhill Gardens, Recreative Natives, Redbud Media, Tait Farm",Amorpha fruticosa,False Indigo Bush,"False Indigo Bush (Amorpha fruticosa): Arcadia Natives Washington, Archewild Quakertown, Gino's Newtown, GroWild, Heartwood Felton, Overhill Gardens, Recreative Natives, Redbud Media, Tait Farm"
41,AMHU2,"https://www.ginosnursery.com/, https://www.growildinc.com, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html",4,"Gino's Newtown, GroWild, Musser Forests Indiana, Overhill Gardens",Amelanchier humilis,Low Serviceberry,"Low Serviceberry (Amelanchier humilis): Gino's Newtown, GroWild, Musser Forests Indiana, Overhill Gardens"
42,AMIN4,"https://arcadianatives.com/, http://www.butterflyoasis.net/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://hilltophollowfarm.com/, http://www.hungryhookfarm.com/, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",16,"Arcadia Natives Washington, Butterfly Oasis Lancaster, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hilltop Hollow Farm, Hungry Hook Bainbridge, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Superior Trees, Tait Farm",Amelanchier Ã—intermedia,Serviceberry,"Serviceberry (Amelanchier Ã—intermedia): Arcadia Natives Washington, Butterfly Oasis Lancaster, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hilltop Hollow Farm, Hungry Hook Bainbridge, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Superior Trees, Tait Farm"
43,AMLA,"https://arcadianatives.com/, https://archewild.com/, https://edgeofthewoodsnursery.com/, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",10,"Arcadia Natives Washington, Archewild Quakertown, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, GroWild, Heartwood Felton, Overhill Gardens, Redbud Media, Tait Farm",Amelanchier laevis,Allegheny Serviceberry,"Allegheny Serviceberry (Amelanchier laevis): Arcadia Natives Washington, Archewild Quakertown, Edge of the Woods Orefield, Friendship Farms Latrobe, Gino's Newtown, GroWild, Heartwood Felton, Overhill Gardens, Redbud Media, Tait Farm"
44,AMNE,"https://arcadianatives.com/, http://www.butterflyoasis.net/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://hilltophollowfarm.com/, http://www.hungryhookfarm.com/, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",16,"Arcadia Natives Washington, Butterfly Oasis Lancaster, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hilltop Hollow Farm, Hungry Hook Bainbridge, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Superior Trees, Tait Farm",Amelanchier Ã—neglecta,Serviceberry,"Serviceberry (Amelanchier Ã—neglecta): Arcadia Natives Washington, Butterfly Oasis Lancaster, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hilltop Hollow Farm, Hungry Hook Bainbridge, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Superior Trees, Tait Farm"
45,AMST80,"https://www.gonativetrees.com/, https://redbudnative.com/",2,"Go Native Trees, Redbud Media",Amelanchier stolonifera,Running Serviceberry,"Running Serviceberry (Amelanchier stolonifera): Go Native Trees, Redbud Media"
46,AMTA2,"https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, https://calyxnativenursery.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, www.facebook.com/recreativenatives/, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net",11,"Archewild Quakertown, Bowman's New Hope, Calyx Native Nursery, Fox Hill Gardens, Gino's Newtown, GroWild, Overhill Gardens, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees",Amsonia tabernaemontana,Eastern Bluestar,"Eastern Bluestar (Amsonia tabernaemontana): Archewild Quakertown, Bowman's New Hope, Calyx Native Nursery, Fox Hill Gardens, Gino's Newtown, GroWild, Overhill Gardens, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees"
47,ANCA8,"http://www.butterflyoasis.net/, https://www.diakon.org/wilderness-greenhouse/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",7,"Butterfly Oasis Lancaster, Diakon Boiling Springs, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens, Redbud Media",Anemone canadensis,Canadian Anemone,"Canadian Anemone (Anemone canadensis): Butterfly Oasis Lancaster, Diakon Boiling Springs, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens, Redbud Media"
48,ANCY,https://archewild.com/,1,Archewild Quakertown,Anemone cylindrica,Candle Anemone,Candle Anemone (Anemone cylindrica): Archewild Quakertown
49,ANGE,"https://archewild.com/, http://www.butterflyoasis.net/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",14,"Archewild Quakertown, Butterfly Oasis Lancaster, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm",Andropogon gerardii,Big Bluestem,"Big Bluestem (Andropogon gerardii): Archewild Quakertown, Butterfly Oasis Lancaster, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm"
50,ANGL2,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",3,"GroWild, Overhill Gardens, Superior Trees",Andropogon glomeratus,Bushy Bluestem,"Bushy Bluestem (Andropogon glomeratus): GroWild, Overhill Gardens, Superior Trees"
51,ANMA,https://calyxnativenursery.com/,1,Calyx Native Nursery,Anaphalis margaritacea,Western Pearly Everlasting,Western Pearly Everlasting (Anaphalis margaritacea): Calyx Native Nursery
52,ANNE,"https://www.ginosnursery.com/, http://www.hungryhookfarm.com/",2,"Gino's Newtown, Hungry Hook Bainbridge",Antennaria neglecta,Field Pussytoes,"Field Pussytoes (Antennaria neglecta): Gino's Newtown, Hungry Hook Bainbridge"
53,ANPL,"https://edgeofthewoodsnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",5,"Edge of the Woods Orefield, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media",Antennaria plantaginifolia,Woman'S Tobacco,"Woman'S Tobacco (Antennaria plantaginifolia): Edge of the Woods Orefield, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media"
54,ANPU2,"http://foxhillgardens.com, http://www.hungryhookfarm.com/, http://www.superiortrees.net",3,"Fox Hill Gardens, Hungry Hook Bainbridge, Superior Trees",Antidesma pulvinatum,Hame,"Hame (Antidesma pulvinatum): Fox Hill Gardens, Hungry Hook Bainbridge, Superior Trees"
55,ANTE2,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Andropogon ternarius,Splitbeard Bluestem,"Splitbeard Bluestem (Andropogon ternarius): GroWild, Overhill Gardens"
56,ANVI2,"https://archewild.com/, https://www.ginosnursery.com/, https://www.goodhostplants.com/plant-availability/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://www.superiortrees.net",8,"Archewild Quakertown, Gino's Newtown, Good Host Plants Philly, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media, Superior Trees",Andropogon virginicus,Broomsedge,"Broomsedge (Andropogon virginicus): Archewild Quakertown, Gino's Newtown, Good Host Plants Philly, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media, Superior Trees"
57,APAM,"https://www.ginosnursery.com/, http://www.hungryhookfarm.com/, http://ruffnermountain.org/, https://www.taitfarmfoodslocal.com",4,"Gino's Newtown, Hungry Hook Bainbridge, Ruffner Mountain Nature Preserve, Tait Farm",Apios americana,Groundnut,"Groundnut (Apios americana): Gino's Newtown, Hungry Hook Bainbridge, Ruffner Mountain Nature Preserve, Tait Farm"
58,APAN2,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Apocynum androsaemifolium,Spreading Dogbane,Spreading Dogbane (Apocynum androsaemifolium): Hungry Hook Bainbridge
59,APCA,https://www.ginosnursery.com/,1,Gino's Newtown,Apocynum cannabinum,Indianhemp,Indianhemp (Apocynum cannabinum): Gino's Newtown
